"BudgetHistoryLink","BUDGET","KEY","Budget#","FullAccount","Account","AcctDesc","Description","Dept","L/N","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total","BudgetYear+1","BudgetYear+2","BudgetYear+3","BudgetYear+4","DIFF","Comments","Ranking","ImportDate","BudgetYear"
"172053","Clifty","CliftyMAINT003-2-21-401-20-320-512-301-4","           ","003-2-21-401-20-320-512-301-4","003-2-21-401-20-320-512-301-4","FORCED DRAFT FAN","""Typical maintenance for bearings, cooling piping and instrumentation. Cell repairs/replacement""","MAINT","N","10000","10000","10000","10000","10000","5000","0","0","0","0","10000","10000","75000","0","0","0","0","0","","1R Reliabi","2025-09-17 12:50:02","2025"
"172054","Clifty","CliftyMAINT003-2-21-401-20-320-512-306-4","           ","003-2-21-401-20-320-512-306-4","003-2-21-401-20-320-512-306-4","STACK","stack lighting repairs","MAINT","N","0","0","0","0","0","1000","0","0","0","0","0","0","1000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172055","Clifty","CliftyMAINT003-2-21-401-20-320-512-309-4","           ","003-2-21-401-20-320-512-309-4","003-2-21-401-20-320-512-309-4","MISC BLR DRAFT EQP","Calibration of Flue gas probes","MAINT","N","0","0","5000","0","0","0","0","0","0","0","0","0","5000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172056","Clifty","CliftyMAINT003-2-21-401-20-320-512-310-4","           ","003-2-21-401-20-320-512-310-4","003-2-21-401-20-320-512-310-4","BOILER FEED PUMP","""U5 New ELO vlvs x3 @$35k ea;  ELO piping repairs x3 @ $15k ea;  motor bearing x4 @$3k , suction valve 18k and scaffolding.total 205k normal maintenance no rebuild work                    Note defered 5e and u6e rotating elementBoiler Feed Pump Rebuild & M""","MAINT","N","0","0","600000","0","0","0","0","0","205000","0","0","0","805000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172057","Clifty","CliftyMAINT003-2-21-401-20-320-512-310-4","           ","003-2-21-401-20-320-512-310-4","003-2-21-401-20-320-512-310-4","BOILER FEED PUMP","OMC-Approval for BFP Rebuild","MAINT","N","0","0","0","0","0","0","441000","0","0","0","0","0","441000","0","0","0","0","0","","1R Reliabi","2025-09-17 12:50:02","2025"
"172058","Clifty","CliftyMAINT003-2-21-401-20-320-512-320-4","           ","003-2-21-401-20-320-512-320-4","003-2-21-401-20-320-512-320-4","HI PRS HEATER","""U4 HI PRS HEATER DRAIN REGULATOR REPLACEMENT, 7k, bf valve work 13k, normal head machine work tube repair plugging heaters 60k. new 9-24-24 u5 south hp heater 150k to repair- dustin info not in budget 90k for rce contractor and 60k for material""","MAINT","N","0","0","120000","0","30000","25000","25000","0","7000","0","23000","0","230000","0","0","0","0","0","","1R Reliabi","2025-09-17 12:50:02","2025"
"172059","Clifty","CliftyMAINT003-2-21-401-20-320-512-321-4","           ","003-2-21-401-20-320-512-321-4","003-2-21-401-20-320-512-321-4","LO PRS HEATER","Typical LO pressure heater tube costs.","MAINT","N","181","181","181","181","181","181","181","181","181","181","181","180","2171","0","0","0","0","0","","1R Reliabi","2025-09-17 12:50:02","2025"
"172060","Clifty","CliftyMAINT003-2-21-401-20-320-512-322-4","           ","003-2-21-401-20-320-512-322-4","003-2-21-401-20-320-512-322-4","DEAREATOR&STOR TANK","""(Door gaskets-tank=$121, ea=$31), misc repairs.""","MAINT","N","187","187","187","187","187","187","187","187","187","187","187","187","2244","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172445","Clifty","CliftyIC003-2-21-401-20-320-512-363-4","           ","003-2-21-401-20-320-512-363-4","003-2-21-401-20-320-512-363-4","OTHER CONTROLS BLR","","IC","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"172446","Clifty","CliftyIC003-2-21-401-20-320-512-365-4","           ","003-2-21-401-20-320-512-365-4","003-2-21-401-20-320-512-365-4","OXYGEN ANALYZER","O2 probe upkeep","IC","N","1000","0","82","750","750","750","750","750","832","1000","1000","1000","8664","0","0","0","0","0","","1R Reliabi","2025-09-17 12:50:02","2025"
"172447","Clifty","CliftyIC003-2-21-401-20-370-500-900-4","           ","003-2-21-401-20-370-500-900-4","003-2-21-401-20-370-500-900-4","OPER SUPV & ENG","","IC","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"172448","Clifty","CliftyIC003-2-21-401-20-370-506-115-4","           ","003-2-21-401-20-370-506-115-4","003-2-21-401-20-370-506-115-4","COMPUTER SUPP&EXP-HRDWARE","","IC","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"172449","Clifty","CliftyOUTAGE003-2-21-401-20-150-506-123-4","           ","003-2-21-401-20-150-506-123-4","003-2-21-401-20-150-506-123-4","OFFICE SUP & EXP","","OUTAGE","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"172458","Clifty","CliftyOUTAGE003-2-21-401-20-335-500-900-4","           ","003-2-21-401-20-335-500-900-4","003-2-21-401-20-335-500-900-4","OPER SUPR & ENG","Travel","OUTAGE","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"172459","Clifty","CliftyOUTAGE003-2-21-401-20-335-506-116-4","           ","003-2-21-401-20-335-506-116-4","003-2-21-401-20-335-506-116-4","COMPUTER SOFTWARE","","OUTAGE","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"172460","Clifty","CliftyOUTAGE003-2-21-401-20-380-510-100-4","           ","003-2-21-401-20-380-510-100-4","003-2-21-401-20-380-510-100-4","MAINT SUPR & ENG-RELIABILITY","","OUTAGE","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"171934","Clifty","CliftyPLANNED-13003-2-21-401-20-320-512-524-4","           ","003-2-21-401-20-320-512-524-4","003-2-21-401-20-320-512-524-4","FGD BOOSTER FANS","Equipment Rental","PLANNED-13","N","0","0","0","0","0","0","0","0","0","15000","10000","0","25000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"171935","Clifty","CliftyPLANNED-13003-2-21-401-20-320-512-507-4","           ","003-2-21-401-20-320-512-507-4","003-2-21-401-20-320-512-507-4","FGD GAS COOLING 13","","PLANNED-13","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"171936","Clifty","CliftyPLANNED-13003-2-21-401-20-320-512-507-4","           ","003-2-21-401-20-320-512-507-4","003-2-21-401-20-320-512-507-4","FGD GAS COOLING 13","","PLANNED-13","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"171937","Clifty","CliftyPLANNED-13003-2-21-401-20-320-512-507-4","           ","003-2-21-401-20-320-512-507-4","003-2-21-401-20-320-512-507-4","FGD GAS COOLING 13","","PLANNED-13","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"171938","Clifty","CliftyPLANNED-13003-2-21-401-20-320-512-507-4","           ","003-2-21-401-20-320-512-507-4","003-2-21-401-20-320-512-507-4","FGD GAS COOLING 13","","PLANNED-13","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"171939","Clifty","CliftyPLANNED-13003-2-21-401-20-320-512-507-4","           ","003-2-21-401-20-320-512-507-4","003-2-21-401-20-320-512-507-4","FGD GAS COOLING 13","","PLANNED-13","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"171940","Clifty","CliftyPLANNED-13003-2-21-401-20-320-512-507-4","           ","003-2-21-401-20-320-512-507-4","003-2-21-401-20-320-512-507-4","FGD GAS COOLING 13","","PLANNED-13","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"171941","Clifty","CliftyPLANNED-13003-2-21-401-20-320-512-507-4","           ","003-2-21-401-20-320-512-507-4","003-2-21-401-20-320-512-507-4","FGD GAS COOLING 13","","PLANNED-13","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-09-17 12:50:02","2025"
"171995","Clifty","CliftyMAINT003-2-21-401-20-320-511-018-4","           ","003-2-21-401-20-320-511-018-4","003-2-21-401-20-320-511-018-4","WASTE WATER SYSTEM","Pump replacement U2 & U6 @ $55k ea (110k total for pump repairs.); Waste Water check valves 30k -valving replacements                                               NOTE:2022 -2024 had Underground roadway repairs 2 leaks a year @ $250000. there are no grou","MAINT","N","0","0","30000","0","0","55000","55000","0","0","0","0","0","140000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"171996","Clifty","CliftyMAINT003-2-21-401-20-320-511-020-4","           ","003-2-21-401-20-320-511-020-4","003-2-21-401-20-320-511-020-4","WATER SYS DEEPWELL","","MAINT","N","0","0","0","0","0","0","0","0","3000","0","0","0","3000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"171997","Clifty","CliftyMAINT003-2-21-401-20-320-511-030-4","           ","003-2-21-401-20-320-511-030-4","003-2-21-401-20-320-511-030-4","ELEVATORS","""Feb. Annual Operation Permits $3,500
Contracts for Alimak/Otis elevators + typical maintenance based on historical data.
May & Aug.  4 safeties needed changed in 2025 for their 5 year life cycle. ($30,000 ea per alex mehl= 120k total)
OTIS $31,119 Quarter""","MAINT","N","7909.28","2188.42","34971.8","59118","10000","10000","50000","97162","10000","37250","4400","10000","332999.5","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"171998","Clifty","CliftyMAINT003-2-21-401-20-320-511-060-4","           ","003-2-21-401-20-320-511-060-4","003-2-21-401-20-320-511-060-4","CABLE & CONDUITS","10k for various electrical cable pulls","MAINT","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"171999","Clifty","CliftyMAINT003-2-21-401-20-320-511-061-4","           ","003-2-21-401-20-320-511-061-4","003-2-21-401-20-320-511-061-4","LIGHTING","SCR lighting has deteriorated. 1/3 of lighting is out. Bulb replacements and new fixtures as needed - we are going to  do a portion annually for a few years 10k a year option. - Monthly lighting pm plant wide repairs is around 5k a month plant average.","MAINT","N","0","10000","10000","10000","10000","0","0","10000","0","0","10000","10000","70000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"172000","Clifty","CliftyMAINT003-2-21-401-20-320-511-062-4","           ","003-2-21-401-20-320-511-062-4","003-2-21-401-20-320-511-062-4","EMERGENCY LIGHTING","Emergency lighting upkeep- battery replacements","MAINT","N","0","0","0","0","0","0","0","1000","0","0","0","0","1000","0","0","0","0","0","","1B Base Co","2025-09-17 12:50:02","2025"
"175493","System","SystemAC003-1-10-401-20-102-921-200-4","           ","003-1-10-401-20-102-921-200-4","003-1-10-401-20-102-921-200-4","EXP GEN EMP ACCT","","AC","N","300","300","300","300","300","300","300","300","300","300","300","300","3600","3600","3600","3600","3600","0","","","2025-10-21 13:35:02","2025"
"175494","System","SystemAC003-1-10-401-20-102-921-300-4","           ","003-1-10-401-20-102-921-300-4","003-1-10-401-20-102-921-300-4","SUPPLIES & EXP ACCT","","AC","N","200","200","200","200","200","200","200","200","200","200","200","200","2400","2400","2400","2400","2400","0","","","2025-10-21 13:35:02","2025"
"175495","System","SystemAC003-1-10-401-20-102-921-301-4","           ","003-1-10-401-20-102-921-301-4","003-1-10-401-20-102-921-301-4","TRAINING SUPP&EXPENSE-ACCT","","AC","N","300","300","300","300","300","300","300","300","300","300","300","300","3600","3600","3600","3600","3600","0","","","2025-10-21 13:35:02","2025"
"175496","System","SystemAC003-1-10-401-20-102-921-302-4","           ","003-1-10-401-20-102-921-302-4","003-1-10-401-20-102-921-302-4","COMPUTER EXP-HARDWARE ACCT","","AC","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-10-21 13:35:02","2025"
"175497","System","SystemAC003-1-10-401-20-102-921-303-4","           ","003-1-10-401-20-102-921-303-4","003-1-10-401-20-102-921-303-4","COMPUTER EXP-SOFTWARE ACCT","","AC","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-10-21 13:35:02","2025"
"175498","System","SystemAC003-1-10-401-20-102-923-200-4","           ","003-1-10-401-20-102-923-200-4","003-1-10-401-20-102-923-200-4","SPECIAL SERVICES-AC","Workiva","AC","N","450","450","450","450","450","450","450","450","450","450","450","450","5400","5400","5400","5400","5400","0","","","2025-10-21 13:35:02","2025"
"175499","System","SystemAC003-1-10-401-20-102-931-220-4","           ","003-1-10-401-20-102-931-220-4","003-1-10-401-20-102-931-220-4","OFFICE EQUIPMENT LEASE","","AC","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2025-10-21 13:35:02","2025"
"175500","System","SystemAP003-1-10-401-20-104-921-200-4","           ","003-1-10-401-20-104-921-200-4","003-1-10-401-20-104-921-200-4","EXP GEN OFF EMP A/P","","AP","N","40","40","40","40","40","40","40","40","40","40","40","40","480","480","480","480","480","0","","","2025-10-21 13:35:02","2025"
"174552","Kyger","KygerPLANNED-02003-1-20-401-20-320-513-124-4","           ","003-1-20-401-20-320-513-124-4","003-1-20-401-20-320-513-124-4","HP GEN HYD SEAL SYST","GENERATOR HYDROGEN PIPING REPLACEMENT MATERIAL","PLANNED-02","N","0","0","0","0","0","0","0","0","0","17000","0","0","17000","17000","17000","17000","17000","0","","1-Base","2025-10-21 11:50:02","2025"
"174553","Kyger","KygerPLANNED-02003-1-20-401-20-320-513-124-4","           ","003-1-20-401-20-320-513-124-4","003-1-20-401-20-320-513-124-4","HP GEN HYD SEAL SYST","GENERATOR HYDROGEN PIPING REPLACEMENT LABOR","PLANNED-02","N","0","0","0","0","0","0","0","0","0","28000","0","0","28000","28000","28000","28000","28000","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
"174554","Kyger","KygerPLANNED-02003-1-20-401-20-320-513-140-4","           ","003-1-20-401-20-320-513-140-4","003-1-20-401-20-320-513-140-4","CONDENSERS","CONDENSER INSPECT & CLEAN","PLANNED-02","N","0","0","0","22000","0","0","0","0","0","22000","0","0","44000","44000","44000","44000","44000","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
"174555","Kyger","KygerPLANNED-02003-1-20-401-20-320-513-150-4","           ","003-1-20-401-20-320-513-150-4","003-1-20-401-20-320-513-150-4","TURBINE OIL TANK","TURBINE OIL COOLER INSPECT & CLEAN","PLANNED-02","N","0","0","0","0","0","0","0","0","0","10000","0","0","10000","10000","10000","10000","10000","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
"174556","Kyger","KygerPLANNED-02003-1-20-401-20-320-513-174-4","           ","003-1-20-401-20-320-513-174-4","003-1-20-401-20-320-513-174-4","CIRC WATER VALVS&PIPG","CIRCULATING WATER PUMP - VALVE INSPECT","PLANNED-02","N","0","0","0","0","0","0","0","0","0","15000","0","0","15000","15000","15000","15000","15000","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
"174557","Kyger","KygerPLANNED-02003-1-20-401-20-320-513-179-4","           ","003-1-20-401-20-320-513-179-4","003-1-20-401-20-320-513-179-4","MISC CIRCUL WATER SYS","INTAKE DEWATER/CLEAN & TRAVELING SCREEN INSPECT","PLANNED-02","N","0","0","0","0","0","0","0","0","0","70000","0","0","70000","70000","70000","70000","70000","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
"174558","Kyger","KygerPLANNED-02003-1-20-401-20-320-513-232-4","           ","003-1-20-401-20-320-513-232-4","003-1-20-401-20-320-513-232-4","GEN BUS & BUS DISCON","CLEAN & INSPECT GENERATOR BUS (GSU & AUX XFMRS)","PLANNED-02","N","0","0","0","0","0","0","0","0","0","10000","0","0","10000","10000","10000","10000","10000","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
"174559","Kyger","KygerPLANNED-02003-1-20-401-20-350-512-175-4","           ","003-1-20-401-20-350-512-175-4","003-1-20-401-20-350-512-175-4","COAL BUNKERS","COAL BUNKER INSPECT","PLANNED-02","N","0","0","0","0","0","0","0","0","0","1200","0","0","1200","1200","1200","1200","1200","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
"174560","Kyger","KygerPLANNED-03003-1-20-401-20-320-512-120-4","           ","003-1-20-401-20-320-512-120-4","003-1-20-401-20-320-512-120-4","PA FAN","","PLANNED-03","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174561","Kyger","KygerPLANNED-03003-1-20-401-20-320-512-120-4","           ","003-1-20-401-20-320-512-120-4","003-1-20-401-20-320-512-120-4","PA FAN","","PLANNED-03","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174562","Kyger","KygerPLANNED-03003-1-20-401-20-320-512-126-4","           ","003-1-20-401-20-320-512-126-4","003-1-20-401-20-320-512-126-4","PULVERIZER","","PLANNED-03","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174635","Kyger","KygerPLANNED-04003-1-20-401-20-320-512-120-4","           ","003-1-20-401-20-320-512-120-4","003-1-20-401-20-320-512-120-4","PA FAN","","PLANNED-04","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174636","Kyger","KygerPLANNED-04003-1-20-401-20-320-512-126-4","           ","003-1-20-401-20-320-512-126-4","003-1-20-401-20-320-512-126-4","PULVERIZER","","PLANNED-04","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174637","Kyger","KygerPLANNED-04003-1-20-401-20-320-512-152-4","           ","003-1-20-401-20-320-512-152-4","003-1-20-401-20-320-512-152-4","BURNER PIPE & DAMPER","","PLANNED-04","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174638","Kyger","KygerPLANNED-04003-1-20-401-20-320-512-180-4","           ","003-1-20-401-20-320-512-180-4","003-1-20-401-20-320-512-180-4","PRECIPITATORS","PRECIP. INSPECT & REPAIR; TR""S, LEAKS, ETC.","PLANNED-04","N","0","0","0","0","10000","0","0","0","0","0","0","0","10000","10000","10000","10000","10000","0","","1-Base","2025-10-21 11:50:02","2025"
"174639","Kyger","KygerPLANNED-04003-1-20-401-20-320-512-180-4","           ","003-1-20-401-20-320-512-180-4","003-1-20-401-20-320-512-180-4","PRECIPITATORS","","PLANNED-04","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174640","Kyger","KygerPLANNED-04003-1-20-401-20-320-512-180-4","           ","003-1-20-401-20-320-512-180-4","003-1-20-401-20-320-512-180-4","PRECIPITATORS","","PLANNED-04","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174641","Kyger","KygerPLANNED-04003-1-20-401-20-320-512-180-4","           ","003-1-20-401-20-320-512-180-4","003-1-20-401-20-320-512-180-4","PRECIPITATORS","INSTALL NEW STYLE B&W HOPPER VALVE ON A&B ROWS","PLANNED-04","N","0","0","0","0","105000","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174642","Kyger","KygerPLANNED-04003-1-20-401-20-320-512-186-4","           ","003-1-20-401-20-320-512-186-4","003-1-20-401-20-320-512-186-4","SCR","SCR INSPECT & CLEAN","PLANNED-04","N","0","0","0","0","80000","0","0","0","0","0","0","0","80000","80000","80000","80000","80000","0","Contractor","1-Reliabil","2025-10-21 11:50:02","2025"
"174731","Kyger","KygerPLANNED-05003-1-20-401-20-320-512-210-4","           ","003-1-20-401-20-320-512-210-4","003-1-20-401-20-320-512-210-4","PRIMARY SUPERHEATER","CONVECTION PASS (PLATENS, SHIELDING, SLAGBLRS, ETC) Labor","PLANNED-05","N","0","0","0","0","10000","0","0","0","0","0","0","0","10000","10000","10000","10000","10000","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
"174732","Kyger","KygerPLANNED-05003-1-20-401-20-320-512-210-4","           ","003-1-20-401-20-320-512-210-4","003-1-20-401-20-320-512-210-4","PRIMARY SUPERHEATER","","PLANNED-05","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174733","Kyger","KygerPLANNED-05003-1-20-401-20-320-512-212-4","           ","003-1-20-401-20-320-512-212-4","003-1-20-401-20-320-512-212-4","SECOND SUPERHEATER","","PLANNED-05","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174734","Kyger","KygerPLANNED-05003-1-20-401-20-320-512-212-4","           ","003-1-20-401-20-320-512-212-4","003-1-20-401-20-320-512-212-4","SECOND SUPERHEATER","","PLANNED-05","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174735","Kyger","KygerPLANNED-05003-1-20-401-20-320-512-220-4","           ","003-1-20-401-20-320-512-220-4","003-1-20-401-20-320-512-220-4","REHEATER","","PLANNED-05","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174736","Kyger","KygerPLANNED-05003-1-20-401-20-320-512-220-4","           ","003-1-20-401-20-320-512-220-4","003-1-20-401-20-320-512-220-4","REHEATER","","PLANNED-05","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1-Base","2025-10-21 11:50:02","2025"
"174737","Kyger","KygerPLANNED-05003-1-20-401-20-320-512-236-4","           ","003-1-20-401-20-320-512-236-4","003-1-20-401-20-320-512-236-4","WATERWALLS","BOILER INSPECTION & DOOR WALKDOWN","PLANNED-05","N","0","0","0","0","3000","0","0","0","0","0","0","0","3000","3000","3000","3000","3000","0","Contractor","1-Base","2025-10-21 11:50:02","2025"
